# Constructed from biom file
#OTU ID	021715M_2	021715M_5	021715M_6	022214M_7	022214M_8	022214M_9	033114M_0	033114M_4	033114M_5	042014M_3	042014M_6	042014M_7	050213M_3	050213M_4	050213M_7	052014M_2	052014M_3	052014M_4	061914M_1	061914M_2	061914M_3	071513M_1	071513M_7	071513M_9	071514M_17	071514M_18	071514M_5	081714M_2	081714M_7	081714M_8	090413M_1	090413M_2	090413M_3	091714M_11	091714M_12	091714M_4	101914M_14	101914M_16	101914M_3	102313M_13	102313M_2	102313M_3	111914M_10	111914M_11	111914M_2	taxonomy
3b4c88402730317d4324eb2d2e48556e	4.4587	4.4587	4.4587	4.7415	4.5512	4.4587	4.5445	4.4587	4.7508	4.4587	4.4587	4.4587	4.4587	4.4587	4.5578	4.4587	4.4587	4.6083	4.4587	4.4587	4.4587	4.4587	4.4587	4.4802	4.4587	4.4587	4.4587	4.4587	4.4587	4.4587	4.4587	4.4587	4.4587	4.4587	4.4587	4.4587	4.8076	4.4587	4.4587	4.4922	4.4587	4.4587	4.4587	4.4587	4.4587	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
3a5ab302f6b01307cbb21f7365a3b542	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alishewanella
342c8f5a61b7b597a26dbde1d87808e0	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alishewanella
33beb96041977c538cb1c6853aa831ab	4.2078	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1578	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1578	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	4.1382	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides
1ab2e312802b7ff2b12115bdd8acac92	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	3.9742	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Porphyrobacter
0bae70da5d30e795675d669321927161	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	4.1885	3.9618	3.9618	3.9618	3.9618	3.9906	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	3.9618	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Massilia
0fe6db4e2757fef3335b1c59fb24d55c	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	3.9342	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium; s__uncultured Caulobacteraceae bacterium
dd629c8e30e6f909801ef0c519c695a9	4.5356	4.5181	4.5181	4.5181	4.6137	4.5181	4.5181	4.5181	4.5181	4.6241	4.5181	4.5181	4.5601	4.5181	4.5181	4.5181	4.5181	4.5181	5.1461	4.5181	4.5181	4.5181	4.5181	4.5181	4.5181	4.5181	5.1824	4.5181	4.5181	4.5181	4.5181	4.5181	4.5181	4.6257	4.5181	4.5181	4.5181	4.5181	4.5181	4.5181	4.5181	4.5181	4.6258	4.5181	4.5181	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus
6d40500261bf2ada12045695a2da2ea0	3.8452	3.8452	3.8452	3.8452	3.8452	3.8452	3.8452	3.8452	3.8452	3.8452	3.8452	3.8452	3.8673	3.8452	3.9015	3.8452	3.8452	3.8452	3.8452	3.8452	3.8452	3.8619	3.8452	3.8452	4.0833	3.8452	3.8452	3.8452	3.8452	3.8452	3.8619	3.8452	3.8452	3.8452	3.8452	3.8452	3.8452	3.8452	3.8452	3.8452	3.8592	3.8452	3.8452	3.8452	3.8452	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Aquabacterium
5956a9b12ea2069f0000df249f187c3e	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	3.8535	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Cellvibrionaceae; g__Cellvibrio
978ea3667bd029527fbeaa67f34e4e32	4.4546	4.4899	4.4546	4.4546	4.9223	4.4546	4.4546	4.4546	4.4546	4.4546	4.4546	4.4546	4.4546	4.4546	4.4546	4.4546	4.4546	4.4546	4.4546	4.4546	4.5703	4.4546	4.4546	4.6058	4.4546	4.4546	4.4546	4.4546	4.4546	4.4546	4.5721	4.4546	4.4546	4.4546	4.4546	4.4546	4.4546	4.4546	4.5274	4.5811	4.4546	4.4546	4.4546	4.4546	4.4546	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium
bed9b9c7dccd41acd4b4ed6a51929253	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.7009	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	3.6898	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales
c10c9b56298467c76134e16dfdf53a15	3.8341	3.8341	3.8341	3.8341	3.8341	3.8341	3.8341	3.8341	4.2927	3.8341	3.8341	3.8341	3.8341	3.8341	3.8341	3.8341	3.8341	3.8341	3.8341	3.8636	3.8341	3.8341	3.8341	3.8341	3.9372	3.8341	3.8341	3.8341	3.8341	3.8341	3.8341	3.8341	3.8341	3.8341	3.8341	3.8341	4.3707	4.141	3.8341	3.8341	3.8341	3.9177	3.8341	3.8341	3.8341	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas
7d31a321ed550ba2b5e0c3fc2e2f9104	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	3.5364	k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae
5a6114b808c6bc2bf6f10a98bbbd4cbb	4.1009	4.1009	4.1009	4.1009	4.1009	4.3125	4.2976	4.1228	4.7514	4.1009	4.1009	4.1723	4.1009	4.1009	4.2282	4.3125	4.1009	4.1009	4.7023	4.1009	4.1492	4.1009	4.1388	4.1009	4.3267	4.1009	4.1009	4.1009	4.1009	4.1009	4.1335	4.1009	4.1009	4.1009	4.1009	4.304	4.1009	4.1009	4.1009	4.1873	4.1009	4.1009	4.1009	4.1009	4.1009	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas
594a59cf89f20a28b5e8569674603fbe	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.1193	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.3454	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	3.0806	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Enterobacter
